Número de viajeros;Edad_media_viajeros;cantidad de niños;País_origen;Ingreso Familiar;Motivo Viaje;Presupuesto Viaje;Fecha Viaje;País Destino;;;;;;;;;;;
3;40;3;Chile;2786;Negocios;1904;19-03-20;Brasil;;;;;;;;;;;
2;37;2;España;2625;Ocio;2258;15-09-21;Estados Unidos;;;;;;;;;;;
3;38;1;México;2198;Otros;1298;08-01-23;España;;;;;;;;;;;
1;36;1;España;2648;Negocios;2088;08-07-22 15:45;Estados Unidos;;;;;;;;;;;
2;37;1;México;2400;Negocios;1044;31-01-23;Estados Unidos;;;;;;;;;;;
1;36;1;Chile;2663;Otros;1646;09-03-21;Estados Unidos;;;;;;;;;;;
2;44;2;España;2461;Ocio;2581;04-08-20;Alemania;;;;;;;;;;;
2;30;2;España;2769;Negocios;2510;09-08-22;Reino Unido;;;;;;;;;;;
3;38;4;España;2791;Negocios;1695;11-07-19;Suiza;;;;;;;;;;;
1;30;2;Chile;3168;Negocios;2110;05-04-22;Estados Unidos;;;;;;;;;;;
4;37;2;Chile;3015;Ocio;2134;04-04-21;Perú;;;;;;;;;;;
3;34;3;Chile;3006;Otros;2056;03-01-21;Perú;;;;;;;;;;;
1;42;2;México;2206;Ocio;1342;06-04-21;España;;;;;;;;;;;
4;34;4;España; $2.472 ;Otros;1759;01-07-20;Reino Unido;;;;;;;;;;;
1;45;3;Chile; $2.695 ;Negocios;2620;12-03-23;Estados Unidos;;;;;;;;;;;
1;43;3;España; $2.609 ;Negocios;1550;05-04-22;Francia;;;;;;;;;;;
3;35;2;Chile; $3.183 ;Ocio;2469;06-01-21;Brasil;;;;;;;;;;;
2;50;3;Chile;3201;Ocio;2068;04-02-21;Brasil;;;;;;;;;;;
3;50;3;México;2283;Negocios;1347;05-04-19;Estados Unidos;;;;;;;;;;;
1;34;2;México;2021;Negocios;1379;18-03-23;Canadá;;;;;;;;;;;
3;49;4;Chile; $2.632 ;Otros;2696;22-12-21;Brasil;;;;;;;;;;;
1;40;2;España; $2.552 ;Negocios;2699;11-09-20;Alemania;;;;;;;;;;;
2;46;1;Chile; $2.708 ;Otros;2416;08-03-21;Perú;;;;;;;;;;;
4;40;2;México; $2.111 ;Ocio;1089;25-02-21;Canadá;;;;;;;;;;;
2;44;2;México;2319;Negocios;1039;22-02-21;Cuba;;;;;;;;;;;
4;33;3;México;2104;Otros;1057;05-04-22;Canadá;;;;;;;;;;;
3;35;4;España;2612;Otros;1491;08-08-20;Alemania;;;;;;;;;;;
3;34;1;México;2048;Negocios;1451;06-04-19;Estados Unidos;;;;;;;;;;;
2;46;4;Chile;2681;Ocio;2120;01-04-19;Argentina;;;;;;;;;;;
3;40;1;México;2203;Ocio;1213;07-04-20;Canadá;;;;;;;;;;;
1;32;1;España;2589;Ocio;2960;06-04-22;Reino Unido;;;;;;;;;;;
2;30;4;México;2340;Ocio;1225;04-04-21;Cuba;;;;;;;;;;;
1;37;3;Chile;2903;Negocios;2360;02-04-19;Colombia;;;;;;;;;;;
4;50;4;Chile;3089;Otros;1887;01-04-19;Argentina;;;;;;;;;;;
3;32;1;España;2597;Negocios;1622;03-04-20;Alemania;;;;;;;;;;;
2;47;2;México;2283;Negocios;1476;02-04-21;Estados Unidos;;;;;;;;;;;
3;39;4;España;2696;Otros;1563;18-07-20;Suiza;;;;;;;;;;;
4;42;3;España;2638;Otros;2715;03-04-19;Reino Unido;;;;;;;;;;;
2;44;2;Chile;3183;Otros;2387;01-04-21;Brasil;;;;;;;;;;;
2;30;1;Chile;2917;Negocios;2672;26-12-19;Argentina;;;;;;;;;;;
3;40;3;España;2786;Otros;2152;02-04-20;Reino Unido;;;;;;;;;;;
1;45;4;Chile;3008;Otros;1553;08-01-23;Estados Unidos;;;;;;;;;;;
4;49;3;España;2694;Otros;1018;17-07-22;Francia;;;;;;;;;;;
4;30;1;Chile;2760;Negocios;2265;19-01-22;Brasil;;;;;;;;;;;
2;42;4;Chile;2986;Otros;2125;05-04-22;Estados Unidos;;;;;;;;;;;
1;46;1;España;2801;Otros;1439;14-09-19;Alemania;;;;;;;;;;;
2;45;3;México;2327;Ocio;1413;02-04-21;Cuba;;;;;;;;;;;
3;37;1;Chile;2972;Ocio;1591;05-04-21;Perú;;;;;;;;;;;
1;40;4;México;2164;Negocios;1274;17-02-22;Canadá;;;;;;;;;;;
2;32;2;México;2154;Negocios;1374;04-04-20;España;;;;;;;;;;;
2;31;4;España;2678;Ocio;2705;02-04-20;Alemania;;;;;;;;;;;
1;40;2;Chile;2570;Ocio;1703;05-04-20;Colombia;;;;;;;;;;;
4;41;3;España;2783;Ocio;2201;06-04-21;Estados Unidos;;;;;;;;;;;
4;35;3;Chile;2928;Ocio;2124;04-04-20;Perú;;;;;;;;;;;
2;30;2;España;2692;Ocio;1396;16-08-20;Estados Unidos;;;;;;;;;;;
2;38;2;México;2091;Ocio;1443;26-02-20;Colombia;;;;;;;;;;;
4;34;2;México;2357;Negocios;1231;03-03-21;Estados Unidos;;;;;;;;;;;
3;43;1;México;2111;Ocio;1137;17-02-23;Cuba;;;;;;;;;;;
2;36;1;España;2606;Negocios;1483;05-04-21;Reino Unido;;;;;;;;;;;
1;33;1;Chile;2941;Ocio;2755;03-04-22;Brasil;;;;;;;;;;;
2;33;3;México;2134;Ocio;1440;05-04-19;Colombia;;;;;;;;;;;
3;47;1;Chile;3101;Ocio;2518;04-04-20;Colombia;;;;;;;;;;;
1;45;4;España;2813;Otros;2743;04-04-21;Reino Unido;;;;;;;;;;;
3;42;4;Chile;2585;Negocios;1581;16-01-21;Colombia;;;;;;;;;;;
1;43;3;Chile;2569;Otros;1971;22-01-23;Argentina;;;;;;;;;;;
2;34;3;México;2115;Negocios;1289;02-04-22;Canadá;;;;;;;;;;;
4;38;3;Chile;2884;Ocio;2955;05-04-19;Brasil;;;;;;;;;;;
3;45;4;Chile;2605;Negocios;2362;31-12-19;Brasil;;;;;;;;;;;
2;50;3;España;2604;Negocios;1126;15-09-20;Alemania;;;;;;;;;;;
1;40;2;Chile;2815;Ocio;1601;08-02-22;Colombia;;;;;;;;;;;
2;42;2;España;2490;Ocio;1290;03-07-22;Reino Unido;;;;;;;;;;;
3;47;3;México;2423;Negocios;1034;15-01-22;Colombia;;;;;;;;;;;
2;38;1;México;2065;Negocios;1305;01-04-21;Cuba;;;;;;;;;;;
1;46;4;España;2533;Otros;1378;20-07-20;Suiza;;;;;;;;;;;
3;41;1;México;2013;Otros;1360;04-04-19;Colombia;;;;;;;;;;;
2;34;3;Chile;2859;Negocios;2649;30-12-19;Brasil;;;;;;;;;;;
3;50;1;Chile;3146;Negocios;1848;01-01-23;Colombia;;;;;;;;;;;
4;47;4;España;2695;Negocios;2942;09-09-20;Reino Unido;;;;;;;;;;;
1;42;2;Chile;3165;Negocios;2940;27-02-23;Perú;;;;;;;;;;;
2;30;1;Chile;2828;Negocios;2447;04-01-20;Colombia;;;;;;;;;;;
2;31;4;México;2108;Otros;1435;31-01-23;Canadá;;;;;;;;;;;
4;40;4;Chile;2832;Otros;2590;28-02-23;Estados Unidos;;;;;;;;;;;
4;47;4;México;2204;Otros;1282;01-02-20;Canadá;;;;;;;;;;;
4;38;4;Chile;3209;Negocios;2669;10-03-21;Perú;;;;;;;;;;;
4;47;4;México;2021;Otros;1114;12-03-21;Canadá;;;;;;;;;;;
2;41;2;España;2524;Ocio;2210;01-04-21;Alemania;;;;;;;;;;;
3;39;2;México;2132;Otros;1198;05-04-22;Cuba;;;;;;;;;;;
3;43;3;España;2760;Ocio;1302;29-07-20;Suiza;;;;;;;;;;;
1;48;1;España;2738;Ocio;1272;06-09-21;Alemania;;;;;;;;;;;
1;40;3;Chile;2617;Otros;2074;11-03-21;Perú;;;;;;;;;;;
2;49;2;Chile;2579;Otros;2205;03-01-22;Estados Unidos;;;;;;;;;;;
1;34;2;Chile;3046;Ocio;2154;06-04-22;Argentina;;;;;;;;;;;
1;43;3;México;2151;Negocios;1080;04-03-23;España;;;;;;;;;;;
2;30;3;México;2126;Negocios;1257;07-04-19;España;;;;;;;;;;;
4;30;4;México;2296;Otros;1089;05-04-19;Canadá;;;;;;;;;;;
1;33;2;España;2569;Otros;1479;01-04-21;Suiza;;;;;;;;;;;
4;34;1;Chile;2600;Negocios;2192;16-01-23;Estados Unidos;;;;;;;;;;;
1;36;1;España;2804;Otros;1855;07-09-20;Francia;;;;;;;;;;;
3;37;2;España;2534;Ocio;2581;29-07-22;Suiza;;;;;;;;;;;
3;40;4;Chile;2652;Otros;2266;03-04-22;Colombia;;;;;;;;;;;
2;36;1;México;2385;Ocio;1452;06-04-21;Cuba;;;;;;;;;;;
3;47;1;México;2184;Negocios;1035;07-04-19;España;;;;;;;;;;;
3;50;1;Chile;2880;Otros;1754;02-04-22;Brasil;;;;;;;;;;;
4;40;3;España;2455;Otros;1420;06-07-22;Alemania;;;;;;;;;;;
4;47;2;Chile;3131;Otros;2123;15-03-22;Argentina;;;;;;;;;;;
1;36;3;Chile;2980;Otros;2567;12-01-20;Brasil;;;;;;;;;;;
4;33;3;México;2117;Ocio;1386;03-01-23;Estados Unidos;;;;;;;;;;;
1;35;4;México;2200;Negocios;1116;16-03-20;España;;;;;;;;;;;
4;31;3;España;2787;Ocio;2196;04-04-20;Suiza;;;;;;;;;;;
4;31;3;Chile;3080;Negocios;2966;05-04-19;Estados Unidos;;;;;;;;;;;
