freq,c_dest,purpose,duration,age,unit,geo,TIME_PERIOD,OBS_VALUE
A,DOM,PER,N1-3,Y15-24,NR,AL,2017,487441
A,DOM,PER,N1-3,Y15-24,NR,AL,2019,496224
A,DOM,PER,N1-3,Y15-24,NR,AL,2020,328952
A,DOM,PER,N1-3,Y15-24,NR,AT,2012,924452
A,DOM,PER,N1-3,Y15-24,NR,AT,2013,1005968
A,DOM,PER,N1-3,Y15-24,NR,AT,2014,938634
A,DOM,PER,N1-3,Y15-24,NR,AT,2015,840699
A,DOM,PER,N1-3,Y15-24,NR,AT,2016,1031529
A,DOM,PER,N1-3,Y15-24,NR,AT,2017,962762
A,DOM,PER,N1-3,Y15-24,NR,AT,2018,1029287
A,DOM,PER,N1-3,Y15-24,NR,AT,2019,1139875
A,DOM,PER,N1-3,Y15-24,NR,AT,2020,820655
A,DOM,PER,N1-3,Y15-24,NR,AT,2021,986180
A,DOM,PER,N1-3,Y15-24,NR,AT,2022,1187785
A,DOM,PER,N1-3,Y15-24,NR,BE,2012,89749
A,DOM,PER,N1-3,Y15-24,NR,BE,2013,139055
A,DOM,PER,N1-3,Y15-24,NR,BE,2014,101649
A,DOM,PER,N1-3,Y15-24,NR,BE,2015,200244
A,DOM,PER,N1-3,Y15-24,NR,BE,2016,125204
A,DOM,PER,N1-3,Y15-24,NR,BE,2017,194151
A,DOM,PER,N1-3,Y15-24,NR,BE,2018,267397
A,DOM,PER,N1-3,Y15-24,NR,BE,2019,262978
A,DOM,PER,N1-3,Y15-24,NR,BE,2020,267092
A,DOM,PER,N1-3,Y15-24,NR,BE,2021,327484
A,DOM,PER,N1-3,Y15-24,NR,BE,2022,319547
A,DOM,PER,N1-3,Y15-24,NR,BG,2012,494603
A,DOM,PER,N1-3,Y15-24,NR,BG,2013,402483
A,DOM,PER,N1-3,Y15-24,NR,BG,2014,324053
A,DOM,PER,N1-3,Y15-24,NR,BG,2015,218620
A,DOM,PER,N1-3,Y15-24,NR,BG,2016,221639
A,DOM,PER,N1-3,Y15-24,NR,BG,2017,435863
A,DOM,PER,N1-3,Y15-24,NR,BG,2018,334099
A,DOM,PER,N1-3,Y15-24,NR,BG,2019,283653
A,DOM,PER,N1-3,Y15-24,NR,BG,2020,166648
A,DOM,PER,N1-3,Y15-24,NR,BG,2021,200697
A,DOM,PER,N1-3,Y15-24,NR,BG,2022,251519
A,DOM,PER,N1-3,Y15-24,NR,CH,2012,551049
A,DOM,PER,N1-3,Y15-24,NR,CH,2013,512775
A,DOM,PER,N1-3,Y15-24,NR,CH,2014,384071
A,DOM,PER,N1-3,Y15-24,NR,CH,2015,533942
A,DOM,PER,N1-3,Y15-24,NR,CH,2016,596317
A,DOM,PER,N1-3,Y15-24,NR,CH,2017,361587
A,DOM,PER,N1-3,Y15-24,NR,CH,2018,286452
A,DOM,PER,N1-3,Y15-24,NR,CH,2019,456196
A,DOM,PER,N1-3,Y15-24,NR,CH,2020,609773
A,DOM,PER,N1-3,Y15-24,NR,CH,2021,771266
A,DOM,PER,N1-3,Y15-24,NR,CY,2012,138938
A,DOM,PER,N1-3,Y15-24,NR,CY,2013,95784
A,DOM,PER,N1-3,Y15-24,NR,CY,2014,95547
A,DOM,PER,N1-3,Y15-24,NR,CY,2015,77727
A,DOM,PER,N1-3,Y15-24,NR,CY,2016,93922
A,DOM,PER,N1-3,Y15-24,NR,CY,2017,78287
A,DOM,PER,N1-3,Y15-24,NR,CY,2018,62863
A,DOM,PER,N1-3,Y15-24,NR,CY,2019,79627
A,DOM,PER,N1-3,Y15-24,NR,CY,2020,105274
A,DOM,PER,N1-3,Y15-24,NR,CY,2021,82568
A,DOM,PER,N1-3,Y15-24,NR,CY,2022,86947
A,DOM,PER,N1-3,Y15-24,NR,CZ,2012,2341692
A,DOM,PER,N1-3,Y15-24,NR,CZ,2013,2048283
A,DOM,PER,N1-3,Y15-24,NR,CZ,2014,2114427
A,DOM,PER,N1-3,Y15-24,NR,CZ,2015,1599804
A,DOM,PER,N1-3,Y15-24,NR,CZ,2016,1699468
A,DOM,PER,N1-3,Y15-24,NR,CZ,2017,2024967
A,DOM,PER,N1-3,Y15-24,NR,CZ,2018,1679162
A,DOM,PER,N1-3,Y15-24,NR,CZ,2019,1656381
A,DOM,PER,N1-3,Y15-24,NR,CZ,2020,1099707
A,DOM,PER,N1-3,Y15-24,NR,CZ,2021,1284557
A,DOM,PER,N1-3,Y15-24,NR,CZ,2022,2109012
A,DOM,PER,N1-3,Y15-24,NR,DE,2012,14588013
A,DOM,PER,N1-3,Y15-24,NR,DE,2013,17407784
A,DOM,PER,N1-3,Y15-24,NR,DE,2014,14845297
A,DOM,PER,N1-3,Y15-24,NR,DE,2015,18170393
A,DOM,PER,N1-3,Y15-24,NR,DE,2016,15562722
A,DOM,PER,N1-3,Y15-24,NR,DE,2017,14555180
A,DOM,PER,N1-3,Y15-24,NR,DE,2018,13253592
A,DOM,PER,N1-3,Y15-24,NR,DE,2019,15328439
A,DOM,PER,N1-3,Y15-24,NR,DE,2020,9659945
A,DOM,PER,N1-3,Y15-24,NR,DE,2021,13361196
A,DOM,PER,N1-3,Y15-24,NR,DE,2022,9362526
A,DOM,PER,N1-3,Y15-24,NR,DK,2012,5195659
A,DOM,PER,N1-3,Y15-24,NR,DK,2013,4819249
A,DOM,PER,N1-3,Y15-24,NR,DK,2014,5115683
A,DOM,PER,N1-3,Y15-24,NR,DK,2015,3500948
A,DOM,PER,N1-3,Y15-24,NR,DK,2016,4657129
A,DOM,PER,N1-3,Y15-24,NR,DK,2017,3306844
A,DOM,PER,N1-3,Y15-24,NR,DK,2018,973951
A,DOM,PER,N1-3,Y15-24,NR,DK,2019,2444145
A,DOM,PER,N1-3,Y15-24,NR,DK,2020,2398719
A,DOM,PER,N1-3,Y15-24,NR,DK,2021,1418564
A,DOM,PER,N1-3,Y15-24,NR,EA20,2012,55387706
A,DOM,PER,N1-3,Y15-24,NR,EA20,2013,56061448
A,DOM,PER,N1-3,Y15-24,NR,EA20,2014,52054821
A,DOM,PER,N1-3,Y15-24,NR,EA20,2015,49521969
A,DOM,PER,N1-3,Y15-24,NR,EA20,2016,49805719
A,DOM,PER,N1-3,Y15-24,NR,EA20,2017,56132990
A,DOM,PER,N1-3,Y15-24,NR,EA20,2018,53976374
A,DOM,PER,N1-3,Y15-24,NR,EA20,2019,55477621
A,DOM,PER,N1-3,Y15-24,NR,EA20,2020,34674020
A,DOM,PER,N1-3,Y15-24,NR,EA20,2021,45450714
A,DOM,PER,N1-3,Y15-24,NR,EA20,2022,39209546
A,DOM,PER,N1-3,Y15-24,NR,EE,2012,294146
A,DOM,PER,N1-3,Y15-24,NR,EE,2013,276695
A,DOM,PER,N1-3,Y15-24,NR,EE,2014,487867
A,DOM,PER,N1-3,Y15-24,NR,EE,2015,404778
A,DOM,PER,N1-3,Y15-24,NR,EE,2016,535400
A,DOM,PER,N1-3,Y15-24,NR,EE,2017,551354
A,DOM,PER,N1-3,Y15-24,NR,EE,2018,673226
A,DOM,PER,N1-3,Y15-24,NR,EE,2019,572776
A,DOM,PER,N1-3,Y15-24,NR,EE,2020,266681
A,DOM,PER,N1-3,Y15-24,NR,EE,2021,332783
A,DOM,PER,N1-3,Y15-24,NR,EE,2022,378496
A,DOM,PER,N1-3,Y15-24,NR,EL,2012,292667
A,DOM,PER,N1-3,Y15-24,NR,EL,2013,131396
A,DOM,PER,N1-3,Y15-24,NR,EL,2014,188725
A,DOM,PER,N1-3,Y15-24,NR,EL,2015,157183
A,DOM,PER,N1-3,Y15-24,NR,EL,2016,137123
A,DOM,PER,N1-3,Y15-24,NR,EL,2017,148168
A,DOM,PER,N1-3,Y15-24,NR,EL,2018,165449
A,DOM,PER,N1-3,Y15-24,NR,EL,2019,148977
A,DOM,PER,N1-3,Y15-24,NR,EL,2020,121136
A,DOM,PER,N1-3,Y15-24,NR,EL,2021,143892
A,DOM,PER,N1-3,Y15-24,NR,EL,2022,154543
A,DOM,PER,N1-3,Y15-24,NR,ES,2012,8313369
A,DOM,PER,N1-3,Y15-24,NR,ES,2013,8808179
A,DOM,PER,N1-3,Y15-24,NR,ES,2014,7449185
A,DOM,PER,N1-3,Y15-24,NR,ES,2015,10339765
A,DOM,PER,N1-3,Y15-24,NR,ES,2016,12325340
A,DOM,PER,N1-3,Y15-24,NR,ES,2017,13255021
A,DOM,PER,N1-3,Y15-24,NR,ES,2018,13218962
A,DOM,PER,N1-3,Y15-24,NR,ES,2019,12692621
A,DOM,PER,N1-3,Y15-24,NR,ES,2020,8437998
A,DOM,PER,N1-3,Y15-24,NR,ES,2021,12082101
A,DOM,PER,N1-3,Y15-24,NR,ES,2022,9744861
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2012,74559294
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2013,73334394
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2014,69446161
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2015,64812680
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2016,66217074
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2017,71138036
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2018,66458180
A,DOM,PER,N1-3,Y15-24,NR,EU27_2020,2019,69819373
