freq,c_dest,purpose,duration,isced11,unit,geo,TIME_PERIOD,OBS_VALUE
A,DOM,PER,N1-3,ED0-2,NR,AL,2017,932700
A,DOM,PER,N1-3,ED0-2,NR,AL,2019,1191489
A,DOM,PER,N1-3,ED0-2,NR,AL,2020,628477
A,DOM,PER,N1-3,ED0-2,NR,AT,2012,948181
A,DOM,PER,N1-3,ED0-2,NR,AT,2013,867545
A,DOM,PER,N1-3,ED0-2,NR,AT,2014,880398
A,DOM,PER,N1-3,ED0-2,NR,AT,2015,944772
A,DOM,PER,N1-3,ED0-2,NR,AT,2016,1020398
A,DOM,PER,N1-3,ED0-2,NR,AT,2017,899365
A,DOM,PER,N1-3,ED0-2,NR,AT,2018,1004985
A,DOM,PER,N1-3,ED0-2,NR,AT,2019,985822
A,DOM,PER,N1-3,ED0-2,NR,AT,2020,626153
A,DOM,PER,N1-3,ED0-2,NR,AT,2021,620083
A,DOM,PER,N1-3,ED0-2,NR,AT,2022,889527
A,DOM,PER,N1-3,ED0-2,NR,BE,2021,413450
A,DOM,PER,N1-3,ED0-2,NR,BE,2022,476207
A,DOM,PER,N1-3,ED0-2,NR,BG,2021,
A,DOM,PER,N1-3,ED0-2,NR,BG,2022,187275
A,DOM,PER,N1-3,ED0-2,NR,DK,2019,2471834
A,DOM,PER,N1-3,ED0-2,NR,DK,2020,2320482
A,DOM,PER,N1-3,ED0-2,NR,DK,2021,1462067
A,DOM,PER,N1-3,ED0-2,NR,EE,2012,124268
A,DOM,PER,N1-3,ED0-2,NR,EE,2013,131921
A,DOM,PER,N1-3,ED0-2,NR,EE,2014,238873
A,DOM,PER,N1-3,ED0-2,NR,EE,2015,220161
A,DOM,PER,N1-3,ED0-2,NR,EE,2016,371233
A,DOM,PER,N1-3,ED0-2,NR,EE,2017,401318
A,DOM,PER,N1-3,ED0-2,NR,EE,2018,552519
A,DOM,PER,N1-3,ED0-2,NR,EE,2019,457512
A,DOM,PER,N1-3,ED0-2,NR,EE,2020,222506
A,DOM,PER,N1-3,ED0-2,NR,EE,2021,302262
A,DOM,PER,N1-3,ED0-2,NR,EE,2022,390896
A,DOM,PER,N1-3,ED0-2,NR,ES,2012,29019778
A,DOM,PER,N1-3,ED0-2,NR,ES,2013,27820896
