quant_inc,c_dest,purpose,duration,geo,TIME_PERIOD,OBS_VALUE
Q1,DOM,PER,N1-3,BE,2021,334106
Q1,DOM,PER,N1-3,BE,2022,323076
Q1,DOM,PER,N1-3,DK,2019,2092908
Q1,DOM,PER,N1-3,DK,2020,1853070
Q1,DOM,PER,N1-3,DK,2021,1509535
Q1,DOM,PER,N1-3,EE,2012,227355
Q1,DOM,PER,N1-3,EE,2013,299269
Q1,DOM,PER,N1-3,EE,2014,305477
Q1,DOM,PER,N1-3,EE,2015,277101
Q1,DOM,PER,N1-3,EE,2016,306131
Q1,DOM,PER,N1-3,EE,2017,313810
Q1,DOM,PER,N1-3,EE,2018,544297
Q1,DOM,PER,N1-3,EE,2019,364938
Q1,DOM,PER,N1-3,EE,2020,173990
Q1,DOM,PER,N1-3,EE,2021,225900
Q1,DOM,PER,N1-3,EE,2022,221210
Q1,DOM,PER,N1-3,NL,2013,3242829
Q1,DOM,PER,N1-3,NL,2014,3175661
Q1,DOM,PER,N1-3,NL,2015,3459744
Q1,DOM,PER,N1-3,NL,2016,3121322
Q1,DOM,PER,N1-3,NL,2017,1756174
Q1,DOM,PER,N1-3,NL,2018,1849277
Q1,DOM,PER,N1-3,NL,2019,1624122
Q1,DOM,PER,N1-3,NL,2020,2103299
Q1,DOM,PER,N1-3,NL,2021,3125063
Q1,DOM,PER,N1-3,NL,2022,1306539
Q1,DOM,PER,N1-3,RO,2013,4691110
Q1,DOM,PER,N1-3,RO,2014,4350904
Q1,DOM,PER,N1-3,RO,2015,4026761
Q1,DOM,PER,N1-3,RO,2016,3740993
Q1,DOM,PER,N1-3,RO,2017,3003716
Q1,DOM,PER,N1-3,RO,2018,2801789
Q1,DOM,PER,N1-3,RO,2019,2516367
Q1,DOM,PER,N1-3,RO,2020,1272967
Q1,DOM,PER,N1-3,RO,2021,1993199
Q1,DOM,PER,N1-3,RO,2022,1556798
Q1,DOM,PER,N_GE1,BE,2021,410587
Q1,DOM,PER,N_GE1,BE,2022,484646
Q1,DOM,PER,N_GE1,DK,2019,3002543
Q1,DOM,PER,N_GE1,DK,2020,2509604
Q1,DOM,PER,N_GE1,DK,2021,2065068
Q1,DOM,PER,N_GE1,EE,2012,345830
Q1,DOM,PER,N_GE1,EE,2013,340218
Q1,DOM,PER,N_GE1,EE,2014,355166
Q1,DOM,PER,N_GE1,EE,2015,327463
Q1,DOM,PER,N_GE1,EE,2016,369827
Q1,DOM,PER,N_GE1,EE,2017,366256
Q1,DOM,PER,N_GE1,EE,2018,598062
Q1,DOM,PER,N_GE1,EE,2019,419072
Q1,DOM,PER,N_GE1,EE,2020,198856
Q1,DOM,PER,N_GE1,EE,2021,277301
Q1,DOM,PER,N_GE1,EE,2022,250992
Q1,DOM,PER,N_GE1,NL,2013,4694443
Q1,DOM,PER,N_GE1,NL,2014,4623757
Q1,DOM,PER,N_GE1,NL,2015,5011916
Q1,DOM,PER,N_GE1,NL,2016,4665027
Q1,DOM,PER,N_GE1,NL,2017,2387326
Q1,DOM,PER,N_GE1,NL,2018,2568538
Q1,DOM,PER,N_GE1,NL,2019,2416067
Q1,DOM,PER,N_GE1,NL,2020,3297623
Q1,DOM,PER,N_GE1,NL,2021,4117073
Q1,DOM,PER,N_GE1,NL,2022,1922020
Q1,DOM,PER,N_GE1,RO,2013,6714870
Q1,DOM,PER,N_GE1,RO,2014,6206705
Q1,DOM,PER,N_GE1,RO,2015,5554849
Q1,DOM,PER,N_GE1,RO,2016,5051361
Q1,DOM,PER,N_GE1,RO,2017,4168207
Q1,DOM,PER,N_GE1,RO,2018,3969817
Q1,DOM,PER,N_GE1,RO,2019,3612307
Q1,DOM,PER,N_GE1,RO,2020,1914086
Q1,DOM,PER,N_GE1,RO,2021,2962975
Q1,DOM,PER,N_GE1,RO,2022,2386192
Q1,DOM,PER,N_GE4,BE,2021,76480
Q1,DOM,PER,N_GE4,BE,2022,161570
Q1,DOM,PER,N_GE4,DK,2019,909636
Q1,DOM,PER,N_GE4,DK,2020,656534
Q1,DOM,PER,N_GE4,DK,2021,555534
Q1,DOM,PER,N_GE4,EE,2012,118476
Q1,DOM,PER,N_GE4,EE,2013,40949
Q1,DOM,PER,N_GE4,EE,2014,49690
Q1,DOM,PER,N_GE4,EE,2015,50362
Q1,DOM,PER,N_GE4,EE,2016,63696
Q1,DOM,PER,N_GE4,EE,2017,52446
Q1,DOM,PER,N_GE4,EE,2018,53765
Q1,DOM,PER,N_GE4,EE,2019,54134
Q1,DOM,PER,N_GE4,EE,2020,
Q1,DOM,PER,N_GE4,EE,2021,51401
Q1,DOM,PER,N_GE4,EE,2022,
Q1,DOM,PER,N_GE4,NL,2013,1451615
Q1,DOM,PER,N_GE4,NL,2014,1448096
Q1,DOM,PER,N_GE4,NL,2015,1552172
Q1,DOM,PER,N_GE4,NL,2016,1543706
Q1,DOM,PER,N_GE4,NL,2017,631152
Q1,DOM,PER,N_GE4,NL,2018,719260
Q1,DOM,PER,N_GE4,NL,2019,791945
Q1,DOM,PER,N_GE4,NL,2020,1194324
Q1,DOM,PER,N_GE4,NL,2021,992010
