freq,c_dest,purpose,duration,tra_mode,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
A,DOM,PER,N1-3,AIR,NR,AT,2012,,u
A,DOM,PER,N1-3,AIR,NR,AT,2013,,u
A,DOM,PER,N1-3,AIR,NR,AT,2014,,u
A,DOM,PER,N1-3,AIR,NR,AT,2015,,u
A,DOM,PER,N1-3,AIR,NR,AT,2016,,u
A,DOM,PER,N1-3,AIR,NR,AT,2017,,u
A,DOM,PER,N1-3,AIR,NR,AT,2018,,u
A,DOM,PER,N1-3,AIR,NR,AT,2019,,u
A,DOM,PER,N1-3,AIR,NR,AT,2020,,u
A,DOM,PER,N1-3,AIR,NR,AT,2021,,u
A,DOM,PER,N1-3,AIR,NR,BE,2021,,u
A,DOM,PER,N1-3,AIR,NR,BG,2012,,u
A,DOM,PER,N1-3,AIR,NR,BG,2015,,u
A,DOM,PER,N1-3,AIR,NR,BG,2022,,u
A,DOM,PER,N1-3,AIR,NR,CH,2014,,u
A,DOM,PER,N1-3,AIR,NR,CH,2015,,u
A,DOM,PER,N1-3,AIR,NR,CH,2017,,u
A,DOM,PER,N1-3,AIR,NR,CH,2021,,u
A,DOM,PER,N1-3,AIR,NR,CZ,2012,,u
A,DOM,PER,N1-3,AIR,NR,DE,2012,1451129,
A,DOM,PER,N1-3,AIR,NR,DE,2013,1323246,
A,DOM,PER,N1-3,AIR,NR,DE,2014,1093490,u
A,DOM,PER,N1-3,AIR,NR,DE,2015,801692,u
A,DOM,PER,N1-3,AIR,NR,DE,2016,1672320,
A,DOM,PER,N1-3,AIR,NR,DE,2017,1154484,u
A,DOM,PER,N1-3,AIR,NR,DE,2018,941496,u
A,DOM,PER,N1-3,AIR,NR,DE,2019,1170381,u
A,DOM,PER,N1-3,AIR,NR,DE,2020,,u
A,DOM,PER,N1-3,AIR,NR,DE,2021,,u
A,DOM,PER,N1-3,AIR,NR,DE,2022,,u
A,DOM,PER,N1-3,AIR,NR,DK,2012,186457,
A,DOM,PER,N1-3,AIR,NR,DK,2013,269614,b
A,DOM,PER,N1-3,AIR,NR,DK,2014,142028,u
A,DOM,PER,N1-3,AIR,NR,DK,2015,97656,u
A,DOM,PER,N1-3,AIR,NR,DK,2016,284932,
A,DOM,PER,N1-3,AIR,NR,DK,2017,190552,
A,DOM,PER,N1-3,AIR,NR,DK,2018,,u
A,DOM,PER,N1-3,AIR,NR,DK,2019,251378,u
A,DOM,PER,N1-3,AIR,NR,DK,2020,,u
A,DOM,PER,N1-3,AIR,NR,DK,2021,142706,u
A,DOM,PER,N1-3,AIR,NR,EA20,2012,5572547,
A,DOM,PER,N1-3,AIR,NR,EA20,2013,4756878,
A,DOM,PER,N1-3,AIR,NR,EA20,2014,4294158,
A,DOM,PER,N1-3,AIR,NR,EA20,2015,4433821,
A,DOM,PER,N1-3,AIR,NR,EA20,2016,5475152,
A,DOM,PER,N1-3,AIR,NR,EA20,2017,6336875,
A,DOM,PER,N1-3,AIR,NR,EA20,2018,6226517,
A,DOM,PER,N1-3,AIR,NR,EA20,2019,6578726,
A,DOM,PER,N1-3,AIR,NR,EA20,2020,3451957,
A,DOM,PER,N1-3,AIR,NR,EA20,2021,3771839,
A,DOM,PER,N1-3,AIR,NR,EA20,2022,6512168,
A,DOM,PER,N1-3,AIR,NR,EE,2012,,u
A,DOM,PER,N1-3,AIR,NR,EE,2013,,u
A,DOM,PER,N1-3,AIR,NR,EE,2014,,u
A,DOM,PER,N1-3,AIR,NR,EE,2015,,u
