freq,c_dest,purpose,duration,sex,unit,geo,TIME_PERIOD,OBS_VALUE
A,DOM,PER,N1-3,F,NR,AL,2017,1213286
A,DOM,PER,N1-3,F,NR,AL,2019,1424643
A,DOM,PER,N1-3,F,NR,AL,2020,938050
A,DOM,PER,N1-3,F,NR,AT,2012,3155661
A,DOM,PER,N1-3,F,NR,AT,2013,3417521
A,DOM,PER,N1-3,F,NR,AT,2014,3616832
A,DOM,PER,N1-3,F,NR,AT,2015,3465207
A,DOM,PER,N1-3,F,NR,AT,2016,3716126
A,DOM,PER,N1-3,F,NR,AT,2017,3505223
A,DOM,PER,N1-3,F,NR,AT,2018,3874006
A,DOM,PER,N1-3,F,NR,AT,2019,4113956
A,DOM,PER,N1-3,F,NR,AT,2020,3406028
A,DOM,PER,N1-3,F,NR,AT,2021,3551574
A,DOM,PER,N1-3,F,NR,AT,2022,4360292
A,DOM,PER,N1-3,F,NR,BE,2012,756712
A,DOM,PER,N1-3,F,NR,BE,2013,907695
A,DOM,PER,N1-3,F,NR,BE,2014,742464
A,DOM,PER,N1-3,F,NR,BE,2015,1152356
A,DOM,PER,N1-3,F,NR,BE,2016,938572
A,DOM,PER,N1-3,F,NR,BE,2017,1118499
A,DOM,PER,N1-3,F,NR,BE,2018,1281495
A,DOM,PER,N1-3,F,NR,BE,2019,1487201
A,DOM,PER,N1-3,F,NR,BE,2020,1177284
A,DOM,PER,N1-3,F,NR,BE,2021,1953238
A,DOM,PER,N1-3,F,NR,BE,2022,1735640
A,DOM,PER,N1-3,F,NR,BG,2012,1029215
A,DOM,PER,N1-3,F,NR,BG,2013,953716
A,DOM,PER,N1-3,F,NR,BG,2014,931887
A,DOM,PER,N1-3,F,NR,BG,2015,703343
A,DOM,PER,N1-3,F,NR,BG,2016,832847
A,DOM,PER,N1-3,F,NR,BG,2017,1377737
A,DOM,PER,N1-3,F,NR,BG,2018,1188827
A,DOM,PER,N1-3,F,NR,BG,2019,1101915
A,DOM,PER,N1-3,F,NR,BG,2020,610053
A,DOM,PER,N1-3,F,NR,BG,2021,838263
A,DOM,PER,N1-3,F,NR,BG,2022,1048829
A,DOM,PER,N1-3,F,NR,CH,2012,2156668
A,DOM,PER,N1-3,F,NR,CH,2013,2350827
A,DOM,PER,N1-3,F,NR,CH,2014,2072561
A,DOM,PER,N1-3,F,NR,CH,2015,2415184
A,DOM,PER,N1-3,F,NR,CH,2016,1950026
A,DOM,PER,N1-3,F,NR,CH,2017,2213164
A,DOM,PER,N1-3,F,NR,CH,2018,1973983
A,DOM,PER,N1-3,F,NR,CH,2019,2113764
A,DOM,PER,N1-3,F,NR,CH,2020,2120157
A,DOM,PER,N1-3,F,NR,CH,2021,2734816
A,DOM,PER,N1-3,F,NR,CY,2012,562933
A,DOM,PER,N1-3,F,NR,CY,2013,454782
A,DOM,PER,N1-3,F,NR,CY,2014,503817
A,DOM,PER,N1-3,F,NR,CY,2015,546025
A,DOM,PER,N1-3,F,NR,CY,2016,606797
A,DOM,PER,N1-3,F,NR,CY,2017,584684
A,DOM,PER,N1-3,F,NR,CY,2018,698367
A,DOM,PER,N1-3,F,NR,CY,2019,717918
A,DOM,PER,N1-3,F,NR,CY,2020,743187
A,DOM,PER,N1-3,F,NR,CY,2021,835392
A,DOM,PER,N1-3,F,NR,CY,2022,722564
