c_dest,purpose,duration,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
DOM,PER,N1-3,ACT_INAC,AL,2017,2447366,
DOM,PER,N1-3,ACT_INAC,AL,2019,2816246,
DOM,PER,N1-3,ACT_INAC,AL,2020,1856588,
DOM,PER,N1-3,ACT_INAC,AT,2012,5777112,
DOM,PER,N1-3,ACT_INAC,AT,2013,6314809,
DOM,PER,N1-3,ACT_INAC,AT,2014,6709183,
DOM,PER,N1-3,ACT_INAC,AT,2015,6351613,
DOM,PER,N1-3,ACT_INAC,AT,2016,6882323,
DOM,PER,N1-3,ACT_INAC,AT,2017,6764655,
DOM,PER,N1-3,ACT_INAC,AT,2018,7361385,
DOM,PER,N1-3,ACT_INAC,AT,2019,7909105,
DOM,PER,N1-3,ACT_INAC,AT,2020,6288046,
DOM,PER,N1-3,ACT_INAC,AT,2021,6677951,
DOM,PER,N1-3,ACT_INAC,AT,2022,8407853,
DOM,PER,N1-3,ACT_INAC,BE,2012,1489881,
DOM,PER,N1-3,ACT_INAC,BE,2013,1670786,
DOM,PER,N1-3,ACT_INAC,BE,2014,1435782,
DOM,PER,N1-3,ACT_INAC,BE,2015,2235671,
DOM,PER,N1-3,ACT_INAC,BE,2016,1698476,
DOM,PER,N1-3,ACT_INAC,BE,2017,2175530,b
DOM,PER,N1-3,ACT_INAC,BE,2018,2469676,
DOM,PER,N1-3,ACT_INAC,BE,2019,2782431,
DOM,PER,N1-3,ACT_INAC,BE,2020,2219809,
DOM,PER,N1-3,ACT_INAC,BE,2021,3606225,
DOM,PER,N1-3,ACT_INAC,BE,2022,3316240,
DOM,PER,N1-3,ACT_INAC,BG,2012,1941286,
DOM,PER,N1-3,ACT_INAC,BG,2013,1877711,
DOM,PER,N1-3,ACT_INAC,BG,2014,1855864,
DOM,PER,N1-3,ACT_INAC,BG,2015,1424295,
DOM,PER,N1-3,ACT_INAC,BG,2016,1596173,
DOM,PER,N1-3,ACT_INAC,BG,2017,2736847,
DOM,PER,N1-3,ACT_INAC,BG,2018,2335183,
DOM,PER,N1-3,ACT_INAC,BG,2019,2204807,
DOM,PER,N1-3,ACT_INAC,BG,2020,1208155,
DOM,PER,N1-3,ACT_INAC,BG,2021,1677700,
DOM,PER,N1-3,ACT_INAC,BG,2022,1967127,
DOM,PER,N1-3,ACT_INAC,CH,2012,3905121,
DOM,PER,N1-3,ACT_INAC,CH,2013,4450442,
DOM,PER,N1-3,ACT_INAC,CH,2014,3993011,
DOM,PER,N1-3,ACT_INAC,CH,2015,4058296,
DOM,PER,N1-3,ACT_INAC,CH,2016,3836856,
DOM,PER,N1-3,ACT_INAC,CH,2017,3968361,
DOM,PER,N1-3,ACT_INAC,CH,2018,3733290,
DOM,PER,N1-3,ACT_INAC,CH,2019,4014110,
DOM,PER,N1-3,ACT_INAC,CH,2020,4074610,
DOM,PER,N1-3,ACT_INAC,CH,2021,4555362,
DOM,PER,N1-3,ACT_INAC,CY,2012,1074564,
DOM,PER,N1-3,ACT_INAC,CY,2013,879804,
DOM,PER,N1-3,ACT_INAC,CY,2014,962785,
DOM,PER,N1-3,ACT_INAC,CY,2015,1082593,
DOM,PER,N1-3,ACT_INAC,CY,2016,1114113,
DOM,PER,N1-3,ACT_INAC,CY,2017,1167110,
DOM,PER,N1-3,ACT_INAC,CY,2018,1329479,
DOM,PER,N1-3,ACT_INAC,CY,2019,1365000,
DOM,PER,N1-3,ACT_INAC,CY,2020,1444892,
DOM,PER,N1-3,ACT_INAC,CY,2021,1586491,
DOM,PER,N1-3,ACT_INAC,CY,2022,1349181,
DOM,PER,N1-3,ACT_INAC,CZ,2012,18628902,
DOM,PER,N1-3,ACT_INAC,CZ,2013,17215083,
DOM,PER,N1-3,ACT_INAC,CZ,2014,18528217,
DOM,PER,N1-3,ACT_INAC,CZ,2015,16203332,
DOM,PER,N1-3,ACT_INAC,CZ,2016,17702092,
DOM,PER,N1-3,ACT_INAC,CZ,2017,20061639,
DOM,PER,N1-3,ACT_INAC,CZ,2018,18498367,
DOM,PER,N1-3,ACT_INAC,CZ,2019,18301424,
DOM,PER,N1-3,ACT_INAC,CZ,2020,12774637,
DOM,PER,N1-3,ACT_INAC,CZ,2021,14492600,
DOM,PER,N1-3,ACT_INAC,CZ,2022,17453952,
DOM,PER,N1-3,ACT_INAC,DE,2012,84908064,
DOM,PER,N1-3,ACT_INAC,DE,2013,87350273,
DOM,PER,N1-3,ACT_INAC,DE,2014,80109555,
DOM,PER,N1-3,ACT_INAC,DE,2015,89534444,
DOM,PER,N1-3,ACT_INAC,DE,2016,87104335,
DOM,PER,N1-3,ACT_INAC,DE,2017,79063521,
DOM,PER,N1-3,ACT_INAC,DE,2018,82390597,
DOM,PER,N1-3,ACT_INAC,DE,2019,84381050,
DOM,PER,N1-3,ACT_INAC,DE,2020,57445754,
DOM,PER,N1-3,ACT_INAC,DE,2021,70272824,
DOM,PER,N1-3,ACT_INAC,DE,2022,67283380,
