DATAFLOW,LAST UPDATE,freq,dest,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2013,1980318,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2014,2093171,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2015,1937464,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2016,2206555,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2017,2238373,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2019,2879296,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2020,723812,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,AT,2022,3140967,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BE,2013,529775,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BE,2016,542444,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BE,2019,583664,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BE,2022,941586,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BG,2013,934996,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BG,2015,635597,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BG,2016,813761,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BG,2019,1193082,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,BG,2022,719832,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2012,357730,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2013,296535,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2014,248135,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2015,208441,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2016,200686,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2017,307795,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2018,223553,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2019,305616,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2020,321187,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CH,2021,439215,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CY,2013,71366,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CY,2016,218458,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CY,2019,441518,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CY,2022,316558,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CZ,2013,7529409,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CZ,2015,7597471,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CZ,2016,7541931,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CZ,2019,7666842,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,CZ,2022,7417241,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DE,2013,53469114,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DE,2016,57446482,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DE,2019,49421797,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DE,2022,38291783,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DK,2013,12522800,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DK,2016,88747,u
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DK,2019,979405,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DK,2020,1055750,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,DK,2021,888433,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EA20,2012,186473129,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EA20,2013,182896842,e
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EA20,2016,183526314,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EA20,2019,166015654,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EA20,2022,156553558,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EE,2013,776835,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EE,2016,1104832,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EE,2019,836244,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EE,2022,731792,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EL,2013,561366,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EL,2016,715753,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EL,2019,673931,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EL,2022,780899,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,ES,2013,31750107,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,ES,2016,39950293,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,ES,2019,40724541,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,ES,2022,37250673,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EU27_2020,2012,234588953,e
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EU27_2020,2013,229089910,e
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EU27_2020,2016,222442250,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EU27_2020,2019,209459153,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,EU27_2020,2022,197891903,e
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FI,2013,12435006,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FI,2016,12740262,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FI,2019,12512305,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FI,2022,9098692,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2013,53827428,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2014,54722977,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2015,47008334,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2016,45909551,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2017,52677808,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2018,35479246,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2019,35120969,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2020,27393846,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2021,37127077,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,FR,2022,40728044,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HR,2013,2021689,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HR,2014,428532,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HR,2016,433905,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HR,2019,328445,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HR,2022,354830,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HU,2012,6076163,
ESTAT:TOUR_DEM_TTHD(1.0),26/10/2023 23:00,A,CITY,DOM,PER,N1-3,NR,HU,2013,4991678,
